1,PRINT 'Hello World!' to the console,System.out.print('Hello World!'),"$System.out.print(""Hello World!"")","$System.out.print(""Hello World!""); ",$System.out.print('Hello World!');,"$System.out.print(""Hello World!""); "
5,question3,answer1,$answer2,$answer3,$answer4,$correctAnswer
5,question4,answer1,$answer2,$answer3,$answer4,$correctAnswer
5,question5,answer1,$answer2,$answer3,$answer4,$correctAnswer
5,question6,answer1,$answer2,$answer3,$answer4,$correctAnswer
5,question7,answer1,$answer2,$answer3,$answer4,$correctAnswer
5,question8,answer1,$answer2,$answer3,$answer4,$correctAnswer
5,question9,answer1,$answer2,$answer3,$answer4,$correctAnswer
5,question10,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question1,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question2,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question3,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question4,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question5,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question6,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question7,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question8,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question9,answer1,$answer2,$answer3,$answer4,$correctAnswer
6,question10,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question1,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question2,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question3,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question4,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question5,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question6,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question7,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question8,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question9,answer1,$answer2,$answer3,$answer4,$correctAnswer
7,question10,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question1,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question2,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question3,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question4,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question5,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question6,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question7,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question8,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question9,answer1,$answer2,$answer3,$answer4,$correctAnswer
8,question10,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question1,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question2,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question3,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question4,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question5,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question6,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question7,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question8,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question9,answer1,$answer2,$answer3,$answer4,$correctAnswer
9,question10,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question1,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question2,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question3,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question4,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question5,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question6,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question7,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question8,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question9,answer1,$answer2,$answer3,$answer4,$correctAnswer
10,question10,answer1,$answer2,$answer3,$answer4,$correctAnswer
